EVENTDATE,COUNTRYOFEVENT,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT1,FIGHTER2RECENT2,FIGHTER2RECENT3,FIGHTER2RECENT4,FIGHTER2NUMUFCFIGHTS,FIGHTER2RECENTBONUSES,FIGHTER2WINRECORD,FIGHTER2LOSSRECORD,FIGHTER2LAYOFFTIME,FIGHTER1OUTCOME,FIGHTER1WIN
21/11/2020, USA,3,Brandon Royval,Brandon Royval,2,1992, USA,175,125,172,3.9,0.52,2.77,0.44,1.06,1,0.63,3.2,0,8.18,0.75,0.06,0.19,0.56,0.25,0.19,2,2,0,0,2,2,12,4,2,Brandon Moreno,Brandon Moreno,1,1993, Mexico,170,125,177,3,0.34,2.94,0.63,1.75,0.4,0.69,0.5,0.27,13.56,0.8,0.07,0.13,0.75,0.15,0.1,3,3,5,6,8,0,17,5,8,YET TO HAPPENLOSS,WINNER-FIGHTER2
21/11/2020, USA,3,Mauricio Rua,Mauricio Rua,1,1981, Brazil,185,205,193,3.63,0.5,2.7,0.54,2.17,0.48,0.47,0.8,1.01,10.54,0.66,0.17,0.17,0.62,0.15,0.22,4,5,1,8,39,1,27,11,4,Paul Craig,Paul Craig,1,1987, United Kingdom,191,205,193,2.3,0.48,2.56,0.48,1.61,0.21,0.55,1.6,0,10.03,0.66,0.27,0.07,0.34,0.41,0.25,2,5,2,8,10,3,13,4,4,YET TO HAPPENLOSS,WINNER-FIGHTER2
21/11/2020, USA,3,Deiveson Figueiredo,Deiveson Figueiredo,1,1987, Brazil,165,125,172,2.8,0.55,2.81,0.51,1.71,0.5,0.61,2.9,1.03,12.07,0.52,0.13,0.35,0.69,0.28,0.02,2,1,2,3,9,2,19,1,4,Alex Perez,Alex Perez,1,1992, USA,167,125,165,4.68,0.47,3.1,0.61,3.03,0.5,0.87,1.4,0.87,7.23,0.65,0.16,0.19,0.62,0.12,0.26,1,2,3,8,8,2,24,5,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
21/11/2020, USA,3,Mike Perry,Mike Perry,1,1991, USA,177,170,180,4.36,0.48,4.41,0.56,0.66,0.46,0.76,0,0.87,10.57,0.74,0.15,0.1,0.65,0.15,0.2,3,8,5,3,13,2,14,6,5,Tim Means,Tim Means,1,1984, USA,187,170,190,4.92,0.46,3.53,0.61,0.98,0.42,0.63,0.2,0.6,9.28,0.77,0.11,0.11,0.63,0.25,0.11,3,7,2,8,22,0,30,12,3,YET TO HAPPENLOSS,WINNER-FIGHTER2
21/11/2020, USA,3,Antoni0 Shevchenko,Antoni0 Shevchenko,2,1984, Kyrgyzstan,172,125,170,4.09,0.54,2.66,0.55,0.5,1,0.5,0.8,0,12.5,0.68,0.25,0.06,0.63,0.26,0.11,6,2,5,3,5,1,8,2,6,Ariane Lipski,Ariane Lipski,1,1994, Brazil,167,125,170,3.34,0.31,4.52,0.51,0.32,1,0.37,0.7,0,15,0.79,0.19,0.02,0.55,0.36,0.09,2,3,6,6,4,1,13,5,4,YET TO HAPPENLOSS,WINNER-FIGHTER2
21/11/2020, USA,3,Katlyn Chookagian,Katlyn Chookagian,1,1988, USA,175,125,172,4.19,0.35,4.2,0.62,0.31,0.15,0.5,0.5,0.1,14.36,0.85,0.05,0.09,0.61,0.22,0.17,8,3,8,3,11,0,14,4,1,Cynthia Calvillo,Cynthia Calvillo,1,1987, USA,162,115,162,4.21,0.44,3.37,0.66,1.97,0.46,0.69,1.3,0,11.42,0.74,0.05,0.21,0.55,0.28,0.18,3,6,3,2,8,0,9,1,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
21/11/2020, USA,3,Valenti0 Shevchenko,Valenti0 Shevchenko,2,1988, Kyrgyzstan,165,135,167,3.06,0.5,2.12,0.63,2.09,0.54,0.77,0.4,0.09,16.32,0.63,0.1,0.27,0.6,0.13,0.27,1,3,1,3,10,1,19,3,9,Jennifer Maia,Jennifer Maia,1,1988, Brazil,162,125,162,4.08,0.39,3.92,0.53,0.23,0.5,0.7,0.2,0,15,0.78,0.21,0.02,0.73,0.19,0.08,2,6,3,3,5,1,18,6,3,YET TO HAPPENLOSS,WINNER-FIGHTER2
14/11/2020, USA,3,Daniel Rodriguez,Daniel Rodriguez,2,1986, USA,185,170,187,8.46,0.48,7.14,0.55,1.83,0.83,0.66,0.4,0.64,11.49,0.97,0.02,0.01,0.79,0.14,0.07,1,3,2,3,4,1,13,1,3,Bryan Barbere0,Bryan Barbere0,2,1989, USA,182,155,182,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,0.88,11.22,0.7,0.19,0.11,0.72,0.12,0.16,3,8,8,1,11,1,15,7,2,YET TO HAPPENLOSS,WINNER-FIGHTER2
14/11/2020, USA,3,Ashley Yoder,Ashley Yoder,2,1987, USA,170,115,175,2.96,0.4,3.49,0.48,1.14,0.36,0.68,0.4,0.25,15,0.78,0.16,0.06,0.63,0.28,0.09,6,5,3,4,7,0,7,6,3,Miranda Granger,Miranda Granger,1,1992, USA,170,115,172,3.47,0.43,3.37,0.64,0,0,0,0,0,15,0.78,0.22,0,0.49,0.12,0.38,7,3,0,0,2,0,7,1,11,YET TO HAPPENLOSS,WINNER-FIGHTER2
14/11/2020, USA,3,Brendan Allen,Brendan Allen,1,1995, USA,187,185,190,2.67,0.6,2.55,0.35,1.42,0.37,0.55,2.4,0,6.43,0.23,0.1,0.67,0.8,0.13,0.07,3,1,2,2,4,0,15,3,5,Sean Strickland,Sean Strickland,1,1991,USA,185,170,193,4.34,0.35,3.62,0.64,1.37,0.57,0.81,0.5,0.37,12.05,0.78,0.07,0.15,0.85,0.06,0.09,3,1,8,3,11,0,21,3,1,YET TO HAPPENLOSS,WINNER-FIGHTER2
